region_id,run,region,n,n_lengths,slope,se,p
auto 3 A (6 regions)|2,auto 3 A (6 regions),2,64,3,-0.024215498588515877,0.0287202275325044,0.402384961614385
auto 3 A (6 regions)|5,auto 3 A (6 regions),5,64,4,0.1476861354326147,0.01901714830115926,1.0084094936518575e-10
auto 3 A (6 regions)|6,auto 3 A (6 regions),6,64,5,0.07500922045905198,0.014386141674111268,2.252337824805984e-06
auto 5 A (4 regions)|1,auto 5 A (4 regions),1,64,4,0.022221100802579104,0.01676026301412618,0.18976336328215077
auto 5 A (4 regions)|2,auto 5 A (4 regions),2,64,7,-0.00557759691810334,0.009299356281675723,0.5508365977706867
auto 5 A (4 regions)|3,auto 5 A (4 regions),3,64,7,0.019980561675688787,0.009095022245122519,0.0317766986059886
auto 5 A (4 regions)|4,auto 5 A (4 regions),4,64,10,0.04562764739701057,0.007499059330038873,8.008891208407716e-08
full (2 regions)|1,full (2 regions),1,64,11,0.020159630361967412,0.007542733832365952,0.009602327184546823
